Line Number,Word 1,Word 2,Rhyme Type
2169,stoon,goon,M
2171,weye,dreye,M
2173,wende,ende,M
2175,also,two,M
2177,age,see,M
2179,see,weye,M
2181,deye,kyng,M
2183,thyng,welle,M
2185,telle,lyve,M
2187,stryve,me,M
2189,necessitee,eschue,E
2191,due,folye,M
2193,gye,honour,M
2195,flour,name,M
2197,shame,deeth,M
2199,breeth,age,M
2201,vassellage,fame,M
2203,name,wilfulnesse,M
2205,hevynesse,flour,M
2207,honour,lyf,M
2209,wyf,weel,M
2211,deel,offende,M
2213,amende,serye,E
2215,merye,grace,E
2217,place,two,M
2219,everemo,herinne,E
2221,bigynne,assent,M
2223,parlement,knyght,M
2225,myght,knewe,M
2227,rewe,lord,M
2229,accord,pitee,E
2231,pardee,bacheler,E
2233,yeer,adversitee,M
2235,me,right,M
2237,knight,sermonyng,M
2239,thyng,hond,M
2241,bond,mariage,M
2243,baronage,melodye,E
2245,emelye,wroght,M
2247,aboght,wele,E
2249,heele,tendrely,E
2251,gentilly,bitwene,E
2253,teene,emelye,E
